,Player,Nation,Pos,Squad,League,Value,Value_num,Age,GA90,Save%,Expected./90,CS%,SoTA/90,Basic_Cluster
0,Aaron Ramsdale,ENG,GK,Bournemouth,England,£11.25m,11250000,21,1.68,0.678,0,13.5,4.783783784,1
1,Aitor Fern√°ndez,ESP,GK,Levante,Spain, £7.20m,7200000,28,1.42,0.761,0.23,13.9,5.583333333,2
2,Alban Lafont,FRA,GK,Nantes,France, £9.90m,9900000,20,1.07,0.714,-0.13,37,3.37037037,3
3,Alessio Cragno,ITA,GK,Cagliari,Italy, £14.40m,14400000,25,1.31,0.767,0.23,18.8,5.375,2
4,Alex McCarthy,ENG,GK,Southampton,England,£3.60m,3600000,29,1.25,0.691,0.22,25,3.928571429,0
5,Alex Meret,ITA,GK,Napoli,Italy,£25.20m,25200000,22,1.52,0.632,-0.2,14.3,3.454545455,0
6,√Ålex Remiro,ESP,GK,Real Sociedad,Spain, £10.80m,10800000,24,1.28,0.713,-0.15,24,3.48,0
7,Alexander N√ºbel,GER,GK,Schalke 04,Germany, £8.55m,8550000,22,1.56,0.684,-0.03,23.1,4.384615385,0
8,Alexander Schwolow,GER,GK,Freiburg,Germany,£6.30m,6300000,27,1.38,0.746,-0.03,16.7,4.75,2
9,Alexandre Oukidja,ALG,GK,Metz,France, £1.44m,1440000,31,1.17,0.78,0.15,29.6,4.703703704,2
10,Alfred Gomis,SEN,GK,Dijon,France,£2.16m,2160000,25,1.11,0.771,0.19,31.6,4.368421053,2
11,Alisson,BRA,GK,Liverpool,England,£64.80m,64800000,26,0.81,0.722,0.03,44.8,2.724137931,3
12,Andrea Consigli,ITA,GK,Sassuolo,Italy, £2.52m,2520000,32,1.77,0.657,-0.07,16.1,4.516129032,1
13,Andreas Luthe,GER,GK,Augsburg,Germany, £360Th.,360000,32,1.2,0.657,0.3,30,3.5,0
14,Angus Gunn,ENG,GK,Southampton,England,£5.85m,5850000,23,2.5,0.566,-0.76,20,5.3,1
15,Anthony Lopes,POR,GK,Lyon,France, £15.75m,15750000,28,0.96,0.729,0.08,30.8,3.269230769,3
16,Baptiste Reynet,FRA,GK,Toulouse,France, £2.16m,2160000,28,2.17,0.589,-0.31,9.1,4.869565217,1
17,Bart≈Çomiej DrƒÖgowski,POL,GK,Fiorentina,Italy, £9.90m,9900000,21,1.39,0.718,0,25.8,4.225806452,2
18,Ben Foster,ENG,GK,Watford,England,£1.08m,1080000,36,1.68,0.663,-0.07,23.7,4.368421053,0
19,Benjamin Lecomte,FRA,GK,Monaco,France, £9.90m,9900000,28,1.57,0.712,-0.07,25,4.714285714,2
20,Beno√Æt Costil,FRA,GK,Bordeaux,France, £3.60m,3600000,32,1.21,0.698,-0.07,21.4,3.785714286,0
21,Bernd Leno,GER,GK,Arsenal,England,£25.20m,25200000,27,1.33,0.776,0.22,23.3,4.9,2
22,David de Gea,ESP,GK,Manchester Utd,England,£36.00m,36000000,28,0.95,0.736,0.07,34.2,3.289473684,3
23,David Ospina,COL,GK,Napoli,Italy, £2.52m,2520000,30,1.04,0.717,0.06,23.5,3.117647059,3
24,David Soria,ESP,GK,Getafe,Spain, £13.05m,13050000,26,0.97,0.686,0.05,39.5,2.684210526,3
25,Dean Henderson,ENG,GK,Sheffield Utd,England,£13.05m,13050000,22,0.92,0.752,0.13,36.1,3.583333333,3
26,Diego L√≥pez,ESP,GK,Espanyol,Spain, £720Th.,720000,37,1.62,0.66,-0.16,11.1,4.25,1
27,Ederson,BRA,GK,Manchester City,England,£50.40m,50400000,25,0.82,0.728,0.07,45.7,2.628571429,3
28,Edouard Mendy,SEN,GK,Rennes,France, £6.30m,6300000,27,0.79,0.784,0.07,37.5,3.083333333,3
29,Emil Audero,ITA,GK,Sampdoria,Italy, £10.80m,10800000,22,1.67,0.669,-0.09,25,4.444444444,0
30,Etrit Berisha,ALB,GK,SPAL,Italy, £2.16m,2160000,30,1.58,0.754,0.09,11.5,5.461538462,2
31,Fernando Pacheco,ESP,GK,Alav√©s,Spain, £13.05m,13050000,27,1.41,0.685,-0.13,22.2,3.407407407,0
