,Player,Nation,Pos,Squad,League,Value,Value_num,Age,Launched.Cmp%,Passes.Launch%,Passes.AvgLen,Goal Kicks.Launch%,Goal Kicks.AvgLen,Total.Att,Total.Cmp%,Total.Dist,Total.PrgDist,Short.Att,Short.Cmp%,Medium.Att,Medium.Cmp%,Advance_Cluster
0,Aaron Ramsdale,eng ENG,GK,Bournemouth,England,£11.25m,11250000.0,21.0,30.4,53.7,44.8,71.6,59.0,30.4,57.7,590.6,401.4,0.11,50.0,8.78,99.7,1
1,Aitor Fernández,es ESP,GK,Levante,Spain, £7.20m,7200000.0,28.0,36.9,50.1,41.7,48.1,41.4,31.1,67.2,651.7,423.7,0.28,100.0,9.75,99.4,2
2,Alban Lafont,fr FRA,GK,Nantes,France, £9.90m,9900000.0,20.0,34.3,48.2,40.8,77.5,55.3,32.7,62.3,666.5,466.6,0.15,0.0,9.96,99.3,1
3,Alessio Cragno,it ITA,GK,Cagliari,Italy, £14.40m,14400000.0,25.0,34.7,51.6,40.7,55.4,43.0,29.7,64.2,577.4,382.1,0.25,100.0,9.63,98.7,2
4,Alex McCarthy,eng ENG,GK,Southampton,England,£3.60m,3600000.0,29.0,35.4,63.9,48.0,83.6,61.4,29.1,54.1,622.5,461.5,0.07,50.0,6.0,97.0,1
5,Alex Meret,it ITA,GK,Napoli,Italy,£25.20m,25200000.0,22.0,36.8,23.7,28.1,16.8,24.4,27.7,84.5,520.6,262.4,0.05,100.0,16.1,99.7,0
6,Álex Remiro,es ESP,GK,Real Sociedad,Spain, £10.80m,10800000.0,24.0,44.1,37.4,36.3,70.6,54.2,36.4,75.1,842.1,491.2,0.08,50.0,14.4,99.7,2
7,Alexander Nübel,de GER,GK,Schalke 04,Germany, £8.55m,8550000.0,22.0,38.1,39.7,37.9,60.4,47.1,39.3,71.5,852.6,476.3,0.12,66.7,13.1,99.4,2
8,Alexander Schwolow,de GER,GK,Freiburg,Germany,£6.30m,6300000.0,27.0,37.5,40.5,38.0,72.7,58.3,42.2,68.2,933.2,573.6,0.09,50.0,13.6,100.0,2
9,Alexandre Oukidja,dz ALG,GK,Metz,France, £1.44m,1440000.0,31.0,34.7,65.6,49.4,90.4,64.9,33.5,51.2,713.1,528.7,0.0,,5.36,96.5,1
10,Alfred Gomis,sn SEN,GK,Dijon,France,£2.16m,2160000.0,25.0,44.8,47.4,39.8,65.5,48.2,40.6,70.9,949.3,637.7,0.11,50.0,14.1,99.6,2
11,Alisson,br BRA,GK,Liverpool,England,£64.80m,64800000.0,26.0,54.1,24.9,31.7,39.4,38.8,32.7,85.8,787.2,434.8,0.07,100.0,14.5,99.3,0
12,Andrea Consigli,it ITA,GK,Sassuolo,Italy, £2.52m,2520000.0,32.0,41.6,34.2,32.7,33.5,30.0,32.1,78.2,608.8,351.9,0.45,100.0,16.1,98.6,0
13,Andreas Luthe,de GER,GK,Augsburg,Germany, £360Th.,360000.0,32.0,37.4,43.6,39.3,51.6,43.0,41.9,70.2,915.3,473.8,0.1,0.0,14.1,99.3,2
14,Angus Gunn,eng ENG,GK,Southampton,England,£5.85m,5850000.0,23.0,24.2,68.9,50.4,86.1,60.7,25.6,43.4,411.4,295.5,0.0,,4.7,100.0,1
15,Anthony Lopes,pt POR,GK,Lyon,France, £15.75m,15750000.0,28.0,47.9,30.2,32.2,40.9,38.0,29.3,68.3,657.9,389.3,0.0,,9.29,100.0,2
16,Baptiste Reynet,fr FRA,GK,Toulouse,France, £2.16m,2160000.0,28.0,38.2,57.3,43.7,71.4,52.2,37.4,61.2,822.8,573.0,0.04,0.0,9.38,99.1,1
17,Bartłomiej Drągowski,pl POL,GK,Fiorentina,Italy, £9.90m,9900000.0,21.0,36.3,39.9,37.0,48.6,42.1,29.2,71.6,605.1,366.8,0.32,80.0,10.5,99.4,2
18,Ben Foster,eng ENG,GK,Watford,England,£1.08m,1080000.0,36.0,33.0,77.4,54.3,92.8,67.6,50.0,70.0,645.0,405.0,0.0,,25.0,100.0,1
19,Benjamin Lecomte,fr FRA,GK,Monaco,France, £9.90m,9900000.0,28.0,46.3,39.9,36.6,58.9,45.1,30.3,73.9,707.2,473.9,0.14,50.0,10.8,98.0,2
20,Benoît Costil,fr FRA,GK,Bordeaux,France, £3.60m,3600000.0,32.0,46.4,48.0,38.8,56.6,43.7,31.6,71.4,723.8,466.3,0.04,100.0,11.3,99.4,2
21,Bernd Leno,de GER,GK,Arsenal,England,£25.20m,25200000.0,27.0,28.1,28.1,31.9,44.6,40.1,33.7,74.9,622.2,333.5,0.2,83.3,16.7,99.0,0
22,David de Gea,es ESP,GK,Manchester Utd,England,£36.00m,36000000.0,28.0,38.6,33.8,34.3,32.1,34.0,24.6,77.7,496.8,290.4,0.11,0.0,12.0,99.3,2
23,David Ospina,co COL,GK,Napoli,Italy, £2.52m,2520000.0,30.0,49.5,23.5,28.3,22.6,24.1,28.7,87.2,585.8,344.5,0.37,100.0,16.4,100.0,0
24,David Soria,es ESP,GK,Getafe,Spain, £13.05m,13050000.0,26.0,37.4,86.3,58.8,90.7,61.4,29.7,44.5,693.5,569.7,0.0,,1.55,98.3,1
25,Dean Henderson,eng ENG,GK,Sheffield Utd,England,£13.05m,13050000.0,22.0,29.5,77.7,58.7,96.5,75.8,28.8,41.0,586.9,474.4,0.03,100.0,3.03,98.2,1
26,Diego López,es ESP,GK,Espanyol,Spain, £720Th.,720000.0,37.0,32.6,57.1,45.2,70.0,52.0,31.8,58.2,642.5,445.0,0.0,,8.38,99.7,1
27,Ederson,br BRA,GK,Manchester City,England,£50.40m,50400000.0,25.0,51.4,21.9,29.7,33.8,35.1,31.2,87.2,688.7,388.7,0.03,100.0,17.1,99.1,0
28,Edouard Mendy,sn SEN,GK,Rennes,France, £6.30m,6300000.0,27.0,51.4,47.1,39.4,66.7,47.6,33.0,73.9,842.8,542.3,0.08,0.0,10.0,100.0,2
29,Emil Audero,it ITA,GK,Sampdoria,Italy, £10.80m,10800000.0,22.0,36.4,50.1,41.5,63.3,46.8,28.8,63.6,603.5,392.6,0.08,100.0,8.33,99.0,2
